MM 	 DD 	 Description 	    Progress
12	19	 撰寫user story 	 Ongoing
12	19	 撰寫user scenario 	 Ongoing
01	02	 從Sophr 1.0專案搬移文件(SPEC、指令等等) 	 Ongoing
01	02	 撰寫user story 	 Ongoing
